iter	RMSE
0	4174.248117
1	4153.104541
2	4131.92811
3	4111.822944
4	4091.771943
5	4072.289486
6	4052.792467
7	4032.77428
8	4013.232228
9	3994.629819
10	3975.892481
11	3958.644846
12	3939.883452
13	3921.229538
14	3903.234631
15	3885.687497
16	3868.503584
17	3852.647626
18	3835.257653
19	3819.198984
20	3802.76094
21	3788.42674
22	3772.45696
23	3756.024763
24	3740.393829
25	3724.296755
26	3708.172227
27	3693.528848
28	3677.96026
29	3662.072374
30	3646.722578
31	3631.921795
32	3616.4966
33	3601.395284
34	3587.25018
35	3572.885859
36	3559.188869
37	3545.732988
38	3532.217192
39	3518.10511
40	3504.049036
41	3490.714173
42	3477.656491
43	3465.602811
44	3452.847272
45	3440.663706
46	3427.779753
47	3415.205733
48	3402.512327
49	3390.911232
50	3379.276752
51	3367.708957
52	3356.199181
53	3344.623344
54	3332.76048
55	3320.894407
56	3309.496779
57	3299.455477
58	3287.524763
59	3276.451931
60	3265.000686
61	3255.052772
62	3244.639568
63	3235.058085
64	3224.372358
65	3215.572328
66	3205.616768
67	3194.917894
68	3185.85324
69	3177.38712
70	3168.176592
71	3157.563824
72	3147.551658
73	3137.796948
74	3128.3793
75	3119.603557
76	3110.572075
77	3102.426968
78	3094.525284
79	3086.805293
80	3079.246202
81	3070.769629
82	3062.195138
83	3053.783543
84	3045.225637
85	3037.533865
86	3030.105131
87	3022.024102
88	3015.077389
89	3007.247757
90	2998.654892
91	2990.660134
92	2982.554586
93	2974.168661
94	2968.043091
95	2960.749921
96	2952.494634
97	2945.77033
98	2938.923364
99	2931.934651
100	2925.446715
101	2919.454164
102	2912.623947
103	2905.25049
104	2898.587649
105	2891.434891
106	2885.540348
107	2878.795768
108	2872.771336
109	2866.407313
110	2861.017594
111	2854.711321
112	2849.322831
113	2843.47611
114	2837.311777
115	2831.496401
116	2824.182265
117	2817.613178
118	2811.074175
119	2805.07129
120	2799.741556
121	2793.315157
122	2787.617381
123	2782.286816
124	2775.77735
125	2770.009062
126	2763.973714
127	2758.632644
128	2753.687187
129	2747.922323
130	2743.546262
131	2738.600068
132	2734.075602
133	2730.229232
134	2725.152439
135	2721.675042
136	2718.148611
137	2713.646861
138	2707.549784
139	2702.294471
140	2697.330535
141	2692.348991
142	2687.903942
143	2682.823611
144	2678.468206
145	2674.250321
146	2669.272747
147	2665.315868
148	2660.884418
149	2655.590776
150	2650.298215
151	2645.604796
152	2640.901922
153	2636.895865
154	2632.283949
155	2627.964729
156	2623.374066
157	2619.720737
158	2615.161894
159	2612.059842
160	2608.56104
161	2605.584977
162	2601.884351
163	2597.647318
164	2593.259191
165	2589.433382
166	2586.037013
167	2581.958173
168	2577.898988
169	2575.046456
170	2572.171723
171	2568.644191
172	2565.104573
173	2561.495284
174	2557.581795
175	2555.177836
176	2551.624505
177	2549.095649
178	2544.92584
179	2542.324722
180	2538.820888
181	2534.818508
182	2529.880123
183	2525.013705
184	2520.671798
185	2517.616464
186	2514.985738
187	2512.055172
188	2508.981997
189	2505.491616
190	2502.887141
191	2500.471449
192	2497.554231
193	2494.121472
194	2491.397832
195	2489.111574
196	2485.701494
197	2482.664689
198	2479.398427
199	2476.408871
200	2473.65344
201	2470.604083
202	2468.176335
203	2466.356247
204	2463.57568
205	2460.298973
206	2457.223253
207	2454.626966
208	2451.084913
209	2448.992551
210	2445.699202
211	2443.330776
212	2441.101548
213	2438.551314
214	2436.023409
215	2432.95864
216	2428.145968
217	2425.755848
218	2423.347854
219	2420.793982
220	2417.985436
221	2416.0777
222	2413.787428
223	2410.173547
224	2407.891624
225	2404.764024
226	2402.218257
227	2398.811811
228	2396.017552
229	2393.928119
230	2392.384042
231	2390.374382
232	2387.460711
233	2385.529447
234	2383.964508
235	2381.936766
236	2379.667313
237	2378.370567
238	2376.13583
239	2373.441135
240	2370.457443
241	2366.660399
242	2364.016505
243	2362.336112
244	2360.394162
245	2358.289449
246	2356.767159
247	2355.410613
248	2353.623467
249	2350.942655
250	2349.285234
251	2347.852368
252	2345.335346
253	2343.476756
254	2340.666435
255	2338.102781
256	2335.941547
257	2334.356404
258	2332.639865
259	2330.393434
260	2328.928659
261	2327.645592
262	2325.025549
263	2323.147999
264	2321.714934
265	2319.972634
266	2316.204767
267	2314.815282
268	2312.751289
269	2310.345686
270	2308.394265
271	2307.134266
272	2305.446799
273	2303.538938
274	2302.144999
275	2300.701128
276	2299.468277
277	2297.89275
278	2295.971486
279	2293.108547
280	2290.9343
281	2289.101616
282	2287.48138
283	2285.967005
284	2285.06841
285	2283.179331
286	2281.1606
287	2278.576693
288	2275.990618
289	2274.001907
290	2272.624033
291	2271.624411
292	2270.296189
293	2268.34274
294	2266.867504
295	2264.880088
296	2263.287917
297	2261.644511
298	2260.10448
299	2257.363754
300	2255.463384
301	2253.860578
302	2252.182683
303	2250.198341
304	2249.163189
305	2246.95092
306	2244.978214
307	2243.009773
308	2241.43583
309	2239.721393
310	2238.541467
311	2236.438299
312	2235.550933
313	2233.288917
314	2230.980073
315	2230.365215
316	2228.392711
317	2226.925248
318	2226.246181
319	2225.282662
320	2223.331636
321	2222.532712
322	2221.299946
323	2219.954653
324	2219.492392
325	2217.971631
326	2215.637928
327	2214.319994
328	2213.495294
329	2212.563535
330	2211.75369
331	2211.153984
332	2210.100849
333	2207.657362
334	2206.73959
335	2204.190234
336	2202.356368
337	2200.727371
338	2199.222687
339	2197.80501
340	2196.353128
341	2195.403943
342	2194.480935
343	2192.579491
344	2190.536143
345	2189.844653
346	2187.929709
347	2186.880058
348	2185.27423
349	2182.930477
350	2181.454571
351	2179.663729
352	2178.748507
353	2178.053615
354	2177.528573
355	2176.680577
356	2174.469901
357	2173.231306
358	2172.013922
359	2171.540934
360	2170.247261
361	2169.600031
362	2168.766534
363	2166.876796
364	2165.847515
365	2164.877734
366	2162.564964
367	2159.691624
368	2157.994745
369	2157.050882
370	2156.313896
371	2155.466822
372	2154.306135
373	2152.693626
374	2151.632067
375	2150.964945
376	2149.623321
377	2147.565477
378	2146.420441
379	2145.351625
380	2144.357046
381	2142.509536
382	2140.180785
383	2138.797924
384	2137.884816
385	2137.117029
386	2135.802762
387	2134.17339
388	2133.344632
389	2132.65991
390	2131.000692
391	2130.25365
392	2129.010377
393	2128.177135
394	2127.010939
395	2123.996683
396	2122.867538
397	2121.413251
398	2119.858567
399	2118.438173
400	2116.880848
401	2115.31059
402	2113.699735
403	2112.067633
404	2111.317945
405	2110.36017
406	2109.353069
407	2108.362289
408	2106.927511
409	2104.284945
410	2103.682086
411	2102.169194
412	2101.272765
413	2100.257259
414	2098.930921
415	2097.761383
416	2095.755801
417	2095.024731
418	2093.894799
419	2092.128416
420	2091.075068
421	2090.573497
422	2089.391578
423	2087.712434
424	2086.336343
425	2084.137694
426	2082.987756
427	2081.649928
428	2080.895542
429	2079.49974
430	2077.542518
431	2076.156458
432	2075.160129
433	2073.721451
434	2072.735609
435	2071.899237
436	2071.466528
437	2070.934359
438	2069.078912
439	2068.516435
440	2067.999228
441	2066.906812
442	2065.841759
443	2064.650376
444	2063.967985
445	2062.369168
446	2061.344687
447	2060.581124
448	2058.928963
449	2057.645696
450	2056.890621
451	2056.222373
452	2054.707621
453	2054.013564
454	2053.27247
455	2052.180636
456	2050.682276
457	2049.665517
458	2048.898678
459	2047.622882
460	2047.119584
461	2045.996198
462	2045.551762
463	2044.549194
464	2042.437363
465	2041.41091
466	2040.671251
467	2039.709284
468	2038.84208
469	2038.082678
470	2036.480208
471	2035.321938
472	2034.327599
473	2033.628962
474	2032.720948
475	2031.440328
476	2030.666906
477	2030.213418
478	2029.194775
479	2028.90329
480	2027.404642
481	2026.142277
482	2025.270381
483	2024.14031
484	2023.725601
485	2023.296748
486	2022.59938
487	2021.297448
488	2020.977998
489	2019.57216
490	2017.981422
491	2017.264861
492	2015.817212
493	2014.035244
494	2013.217418
495	2012.420145
496	2011.668388
497	2010.310428
498	2009.301287
499	2007.696892
500	2006.68876
501	2005.918387
502	2005.182158
503	2004.26456
504	2003.503354
505	2003.230878
506	2002.280655
507	2001.627621
508	2000.073458
509	1999.599676
510	1999.079204
511	1998.453155
512	1997.31236
513	1996.022094
514	1994.628385
515	1993.702574
516	1992.397759
517	1991.102141
518	1989.877335
519	1989.413612
520	1988.375387
521	1988.162089
522	1987.510073
523	1986.364796
524	1985.409229
525	1984.884202
526	1983.680057
527	1982.757086
528	1980.88837
529	1980.459503
530	1979.718844
531	1978.164224
532	1976.898682
533	1975.116918
534	1974.661438
535	1974.279416
536	1973.417822
537	1972.618794
538	1971.426027
539	1970.828662
540	1970.269121
541	1969.731104
542	1969.322506
543	1968.540475
544	1968.209268
545	1967.372331
546	1967.151329
547	1966.049879
548	1965.2499
549	1964.740775
550	1964.176168
551	1963.346303
552	1963.044678
553	1962.747895
554	1962.089098
555	1961.144188
556	1960.049438
557	1958.944561
558	1958.504709
559	1957.712392
560	1957.245432
561	1956.383868
562	1955.235118
563	1954.951152
564	1953.590403
565	1953.405371
566	1952.85199
567	1951.789622
568	1950.095375
569	1948.880045
570	1946.812171
571	1945.812983
572	1945.14782
573	1944.058108
574	1943.578893
575	1942.893061
576	1941.789538
577	1940.917528
578	1940.305636
579	1938.836715
580	1937.474199
581	1936.911543
582	1936.037014
583	1934.492888
584	1933.705806
585	1933.175252
586	1931.086508
587	1930.391885
588	1929.694168
589	1929.037598
590	1927.310523
591	1926.234659
592	1925.897329
593	1924.821548
594	1924.244133
595	1923.407002
596	1922.55555
597	1921.188042
598	1919.998163
599	1919.515066
600	1918.663565
601	1917.742321
602	1917.437402
603	1916.870251
604	1916.406692
605	1916.027178
606	1915.625772
607	1915.232318
608	1914.983067
609	1914.343911
610	1913.77328
611	1913.180215
612	1911.970266
613	1910.777784
614	1910.019089
615	1908.426927
616	1908.133615
617	1907.572198
618	1906.077132
619	1904.056771
620	1903.712117
621	1902.251394
622	1901.882642
623	1900.48705
624	1899.702456
625	1899.330293
626	1899.085192
627	1898.64685
628	1897.85554
629	1897.123656
630	1896.324805
631	1895.638925
632	1895.118767
633	1894.302647
634	1893.872724
635	1893.471774
636	1893.212539
637	1893.034332
638	1892.265198
639	1891.346281
640	1889.849366
641	1889.011412
642	1888.144475
643	1887.020284
644	1886.798675
645	1885.562323
646	1884.58746
647	1884.272993
648	1883.373832
649	1882.491707
650	1881.386435
651	1880.537996
652	1879.631014
653	1879.332461
654	1877.928287
655	1877.287771
656	1876.660205
657	1875.854335
658	1875.229745
659	1874.895682
660	1874.538209
661	1873.497382
662	1872.79609
663	1871.560097
664	1870.883233
665	1870.558026
666	1869.892746
667	1868.843557
668	1867.818755
669	1867.124695
670	1866.808192
671	1866.325827
672	1865.212742
673	1864.619431
674	1864.12433
675	1863.537282
676	1862.597944
677	1862.288591
678	1861.684936
679	1860.507589
680	1859.878131
