iter	Passed	Remaining
443	1241	26712
444	1244	26712
445	1246	26704
446	1249	26705
447	1252	26705
448	1255	26705
449	1258	26701
450	1260	26695
451	1263	26690
452	1266	26688
453	1269	26687
454	1271	26682
455	1274	26680
456	1277	26675
457	1280	26670
458	1282	26667
459	1286	26676
460	1289	26678
461	1292	26680
462	1295	26678
463	1298	26678
464	1301	26685
465	1304	26685
466	1307	26686
467	1310	26686
468	1313	26684
469	1316	26685
470	1318	26685
471	1322	26688
472	1324	26682
473	1327	26682
474	1330	26680
475	1333	26676
476	1336	26676
477	1338	26670
478	1341	26664
479	1344	26662
480	1346	26653
481	1349	26650
482	1352	26648
483	1355	26647
484	1357	26639
485	1360	26637
486	1363	26630
487	1366	26628
488	1368	26626
489	1371	26624
490	1374	26627
491	1377	26622
492	1380	26616
493	1382	26611
494	1385	26606
495	1388	26600
496	1390	26594
497	1393	26595
498	1396	26590
499	1399	26587
500	1402	26589
501	1405	26588
502	1407	26583
503	1410	26579
504	1413	26574
505	1416	26573
506	1419	26570
507	1421	26564
508	1424	26559
509	1427	26557
510	1430	26554
511	1432	26553
512	1435	26548
513	1438	26545
514	1440	26539
515	1443	26534
516	1446	26529
517	1449	26531
518	1452	26528
519	1454	26524
520	1457	26519
521	1460	26511
522	1462	26506
523	1465	26505
524	1468	26504
525	1471	26503
526	1474	26496
527	1476	26491
528	1479	26491
529	1482	26492
530	1485	26489
531	1488	26486
532	1491	26483
533	1493	26478
534	1496	26477
535	1499	26475
536	1502	26476
537	1505	26472
538	1507	26467
539	1510	26462
540	1513	26467
541	1516	26469
542	1519	26467
543	1522	26462
544	1525	26457
545	1527	26456
546	1530	26457
547	1533	26454
548	1536	26450
549	1539	26449
550	1542	26446
551	1544	26441
552	1547	26437
553	1550	26432
554	1553	26429
555	1555	26427
556	1558	26421
557	1561	26417
558	1564	26421
559	1567	26421
560	1570	26422
561	1572	26415
562	1575	26411
563	1578	26408
564	1581	26407
565	1584	26404
566	1586	26400
567	1589	26400
568	1592	26400
569	1595	26402
570	1598	26397
571	1601	26392
572	1603	26387
573	1606	26385
574	1609	26381
575	1612	26381
576	1615	26378
577	1617	26372
578	1620	26366
579	1623	26362
580	1626	26360
581	1628	26359
582	1631	26356
583	1634	26353
584	1637	26350
585	1639	26345
586	1642	26342
587	1645	26338
588	1648	26334
589	1650	26331
590	1653	26327
591	1656	26321
592	1659	26320
593	1662	26319
594	1664	26315
595	1667	26309
596	1670	26307
597	1672	26303
598	1675	26302
599	1678	26297
600	1681	26295
601	1684	26290
602	1686	26286
603	1689	26282
604	1692	26281
605	1695	26277
606	1697	26274
607	1700	26268
608	1703	26262
609	1705	26257
610	1708	26253
611	1711	26249
612	1714	26248
613	1716	26244
614	1719	26245
615	1722	26243
616	1725	26241
617	1728	26241
618	1731	26238
619	1734	26235
620	1736	26231
621	1739	26227
622	1742	26223
623	1744	26219
624	1747	26215
625	1750	26212
626	1753	26209
627	1756	26207
628	1759	26210
629	1762	26212
630	1765	26208
631	1767	26205
632	1770	26199
633	1773	26195
634	1776	26194
635	1778	26190
636	1781	26187
637	1784	26183
638	1787	26180
639	1790	26181
640	1792	26177
641	1795	26171
642	1798	26166
643	1800	26161
644	1803	26155
645	1806	26152
646	1809	26152
647	1811	26148
648	1814	26144
649	1817	26142
650	1820	26140
651	1823	26143
652	1826	26144
653	1829	26140
654	1831	26136
655	1834	26131
656	1837	26127
657	1840	26128
658	1843	26125
659	1845	26122
660	1848	26120
661	1851	26117
662	1854	26115
663	1857	26113
664	1859	26108
665	1862	26103
666	1865	26098
667	1867	26093
668	1870	26095
669	1873	26091
670	1876	26089
671	1879	26087
672	1882	26082
673	1884	26077
674	1887	26075
675	1890	26071
676	1893	26071
677	1896	26069
678	1898	26064
679	1901	26059
680	1904	26055
681	1906	26053
682	1909	26052
683	1912	26048
684	1915	26043
685	1918	26041
686	1920	26039
687	1923	26040
688	1926	26035
689	1929	26031
690	1931	26027
691	1934	26023
692	1937	26025
693	1940	26021
694	1943	26015
695	1946	26015
696	1948	26011
697	1951	26007
698	1954	26005
699	1957	26002
700	1959	25996
701	1962	25991
702	1965	25987
703	1968	25986
704	1971	25986
705	1973	25983
706	1976	25980
707	1979	25976
708	1982	25975
709	1985	25976
710	1988	25977
711	1990	25972
712	1993	25967
713	1996	25964
714	1999	25960
715	2001	25957
716	2004	25954
717	2007	25949
718	2010	25945
719	2012	25941
720	2015	25936
721	2018	25935
722	2021	25933
723	2023	25928
724	2026	25927
725	2029	25923
726	2032	25919
727	2035	25919
728	2037	25915
729	2040	25910
730	2043	25906
731	2045	25903
732	2048	25900
733	2051	25901
734	2054	25898
735	2057	25896
736	2060	25892
737	2062	25887
738	2065	25882
739	2068	25880
740	2070	25876
741	2073	25875
742	2076	25872
743	2079	25868
744	2082	25866
745	2085	25865
746	2087	25863
747	2090	25859
748	2093	25857
749	2096	25852
750	2099	25852
751	2101	25849
752	2104	25845
753	2107	25842
754	2110	25839
755	2113	25838
756	2115	25835
757	2118	25833
758	2121	25828
759	2124	25825
760	2126	25820
761	2129	25818
762	2132	25814
763	2135	25813
764	2138	25812
765	2141	25811
766	2143	25808
767	2146	25805
768	2149	25807
769	2152	25804
770	2155	25799
771	2158	25795
772	2160	25791
773	2163	25786
774	2166	25785
775	2169	25782
776	2171	25781
777	2174	25776
778	2177	25773
779	2180	25771
780	2183	25772
781	2186	25770
782	2188	25767
783	2191	25763
784	2194	25758
785	2197	25754
786	2199	25752
787	2202	25749
788	2205	25744
789	2208	25741
790	2210	25737
791	2213	25733
792	2216	25730
793	2218	25727
794	2221	25724
795	2224	25719
796	2226	25714
797	2229	25711
798	2232	25713
799	2235	25711
800	2238	25712
801	2241	25708
802	2244	25704
803	2247	25707
804	2250	25706
805	2253	25705
806	2256	25701
807	2257	25678
808	2259	25674
809	2262	25673
810	2265	25669
811	2268	25665
812	2270	25660
813	2273	25657
814	2276	25653
815	2279	25651
816	2282	25653
817	2285	25652
818	2288	25649
819	2290	25645
820	2293	25643
821	2296	25642
822	2299	25641
823	2302	25636
824	2304	25632
825	2307	25630
826	2310	25630
827	2313	25629
828	2316	25625
829	2319	25623
830	2321	25619
831	2324	25616
832	2327	25616
833	2330	25612
834	2333	25607
835	2335	25602
836	2338	25598
837	2341	25595
838	2344	25594
839	2346	25591
840	2349	25587
841	2352	25583
842	2354	25580
843	2357	25576
844	2360	25575
845	2361	25552
846	2364	25548
847	2367	25548
848	2369	25543
849	2372	25538
850	2375	25537
851	2378	25535
852	2381	25533
853	2383	25530
854	2386	25527
855	2389	25528
856	2392	25527
857	2396	25529
858	2398	25524
859	2401	25521
860	2403	25515
861	2406	25510
862	2409	25507
863	2411	25503
864	2414	25499
865	2417	25497
866	2420	25495
867	2423	25492
868	2425	25490
869	2428	25488
870	2431	25485
871	2434	25480
872	2436	25476
873	2439	25472
874	2442	25471
875	2445	25468
876	2448	25466
877	2451	25465
878	2453	25461
879	2456	25458
880	2459	25458
881	2462	25454
882	2465	25451
883	2467	25448
884	2470	25445
885	2473	25442
886	2476	25441
887	2479	25438
888	2481	25436
889	2484	25432
890	2487	25428
891	2490	25427
892	2493	25428
893	2496	25427
894	2499	25427
895	2502	25425
896	2504	25421
897	2507	25419
898	2510	25415
899	2513	25410
900	2515	25406
901	2518	25401
902	2521	25397
903	2523	25395
904	2526	25392
905	2529	25390
906	2532	25386
907	2534	25382
908	2537	25379
909	2540	25378
910	2543	25374
911	2546	25370
912	2548	25367
913	2551	25363
914	2554	25359
915	2557	25359
916	2559	25355
917	2562	25350
918	2565	25346
919	2567	25342
920	2570	25340
921	2573	25339
922	2576	25335
923	2578	25331
924	2581	25329
925	2584	25326
926	2587	25323
927	2590	25322
928	2592	25318
929	2595	25314
930	2598	25310
931	2601	25308
932	2604	25306
933	2607	25306
934	2610	25304
935	2612	25301
936	2615	25297
937	2618	25293
938	2621	25292
939	2623	25290
940	2626	25286
941	2629	25282
942	2632	25280
943	2634	25277
944	2637	25275
945	2640	25274
946	2643	25271
947	2646	25270
948	2649	25267
949	2651	25262
950	2654	25260
951	2657	25258
952	2660	25255
953	2663	25252
954	2666	25251
955	2668	25248
956	2671	25246
957	2674	25243
958	2677	25240
959	2680	25237
960	2683	25235
961	2685	25233
962	2688	25232
963	2691	25229
964	2694	25225
965	2696	25220
966	2699	25217
967	2702	25217
968	2705	25216
969	2708	25212
970	2711	25210
971	2713	25206
972	2716	25203
973	2719	25202
974	2722	25200
975	2725	25198
976	2728	25196
977	2731	25193
978	2733	25190
979	2736	25189
980	2739	25186
981	2742	25186
982	2745	25182
983	2748	25180
984	2750	25176
985	2753	25174
986	2756	25172
987	2759	25169
988	2762	25166
989	2764	25162
990	2767	25161
991	2771	25162
992	2773	25159
993	2776	25156
994	2779	25153
995	2782	25150
996	2784	25147
997	2787	25146
998	2790	25142
999	2793	25139
1000	2796	25138
1001	2799	25135
1002	2802	25134
1003	2804	25131
1004	2807	25128
1005	2810	25123
1006	2812	25121
1007	2815	25118
1008	2818	25117
1009	2821	25116
1010	2824	25113
1011	2827	25109
1012	2830	25107
1013	2832	25105
1014	2835	25102
1015	2838	25102
1016	2841	25098
1017	2844	25094
1018	2846	25090
1019	2849	25088
1020	2852	25085
1021	2855	25082
1022	2858	25082
1023	2861	25078
1024	2863	25075
1025	2866	25073
1026	2869	25069
1027	2871	25064
1028	2874	25060
1029	2877	25058
1030	2880	25056
1031	2883	25056
1032	2886	25053
1033	2888	25050
1034	2891	25046
1035	2894	25043
1036	2897	25040
1037	2899	25037
1038	2902	25033
1039	2905	25031
1040	2908	25028
1041	2911	25025
1042	2913	25023
1043	2916	25021
1044	2919	25017
1045	2921	25012
1046	2924	25008
1047	2927	25003
1048	2930	25001
1049	2932	24998
1050	2935	24995
1051	2938	24991
1052	2940	24988
1053	2943	24986
1054	2946	24983
1055	2949	24979
1056	2952	24978
1057	2955	24975
1058	2957	24973
1059	2960	24970
1060	2963	24968
1061	2966	24964
1062	2969	24961
1063	2971	24957
1064	2974	24956
1065	2977	24954
1066	2980	24951
1067	2983	24949
1068	2986	24948
1069	2988	24945
1070	2991	24940
1071	2994	24936
1072	2997	24935
1073	2999	24931
1074	3002	24927
1075	3005	24924
1076	3008	24925
1077	3011	24921
1078	3014	24920
1079	3017	24920
1080	3019	24916
1081	3022	24912
1082	3025	24909
1083	3028	24905
1084	3030	24903
1085	3033	24900
1086	3036	24897
1087	3039	24893
1088	3041	24890
1089	3044	24888
1090	3047	24885
1091	3050	24882
1092	3052	24877
1093	3055	24874
1094	3058	24871
1095	3061	24868
1096	3064	24868
1097	3066	24863
1098	3069	24860
1099	3072	24856
1100	3074	24852
1101	3077	24851
1102	3080	24851
1103	3083	24848
1104	3086	24845
1105	3089	24842
1106	3091	24839
1107	3094	24837
1108	3097	24834
1109	3100	24831
1110	3103	24827
1111	3105	24824
1112	3108	24820
1113	3111	24821
1114	3114	24817
1115	3117	24815
1116	3119	24811
1117	3122	24807
1118	3125	24806
1119	3128	24805
1120	3131	24805
1121	3134	24800
1122	3136	24795
1123	3139	24793
1124	3142	24791
1125	3145	24788
1126	3148	24785
1127	3150	24780
1128	3153	24776
1129	3155	24773
1130	3158	24771
1131	3161	24768
1132	3164	24763
1133	3167	24760
1134	3169	24758
1135	3172	24754
1136	3175	24752
1137	3178	24749
1138	3180	24745
1139	3183	24743
1140	3186	24740
1141	3189	24738
1142	3192	24737
1143	3195	24735
1144	3197	24731
1145	3200	24729
1146	3203	24725
1147	3206	24721
1148	3208	24718
1149	3211	24716
1150	3214	24712
1151	3217	24709
1152	3219	24705
1153	3222	24702
1154	3225	24703
1155	3228	24700
1156	3231	24699
1157	3234	24696
1158	3236	24691
