iter	Passed	Remaining
0	7	7914
1	14	7174
2	21	7060
3	28	7059
4	34	6936
5	42	7002
6	48	6948
7	56	6993
8	63	6938
9	70	6982
10	77	6972
11	84	6930
12	91	6922
13	97	6900
14	104	6880
15	111	6829
16	117	6772
17	123	6755
18	130	6717
19	137	6727
20	143	6713
21	150	6690
22	157	6683
23	163	6665
24	170	6652
25	177	6632
26	183	6607
27	189	6591
28	196	6580
29	203	6577
30	209	6561
31	217	6573
32	224	6591
33	233	6638
34	240	6635
35	247	6637
36	257	6692
37	266	6756
38	277	6847
39	286	6873
40	295	6917
41	302	6910
42	309	6894
43	317	6888
44	323	6863
45	329	6833
46	335	6811
47	341	6780
48	348	6759
49	354	6742
50	361	6719
51	367	6704
52	374	6686
53	380	6667
54	387	6662
55	394	6645
56	401	6646
57	408	6630
58	415	6622
59	422	6621
60	429	6609
61	436	6610
62	444	6608
63	451	6605
64	457	6587
65	464	6578
66	471	6566
67	478	6552
68	484	6543
69	491	6530
70	498	6521
71	504	6505
72	511	6490
73	517	6481
74	525	6482
75	532	6479
76	540	6479
77	547	6476
78	554	6465
79	562	6465
80	568	6451
81	575	6443
82	583	6445
83	590	6438
84	598	6439
85	605	6437
86	613	6434
87	620	6431
88	628	6434
89	636	6434
90	644	6437
91	651	6430
92	658	6421
93	665	6418
94	673	6412
95	680	6403
96	686	6388
97	693	6385
98	700	6373
99	706	6357
100	712	6346
101	719	6334
102	726	6331
103	733	6322
104	740	6311
105	746	6299
106	753	6286
107	760	6279
108	767	6270
109	773	6261
110	780	6250
111	787	6239
112	794	6233
113	800	6223
114	808	6219
115	815	6212
116	822	6208
117	830	6203
118	836	6195
119	844	6190
120	851	6182
121	858	6178
122	865	6173
123	873	6170
124	880	6164
125	887	6158
126	895	6152
127	901	6142
128	908	6134
129	914	6123
130	921	6116
131	928	6108
132	935	6099
133	942	6091
134	949	6082
135	956	6075
136	962	6064
137	969	6056
138	976	6048
139	982	6036
140	989	6029
141	996	6018
142	1003	6014
143	1009	6003
144	1016	5995
145	1023	5987
146	1030	5977
147	1036	5969
148	1043	5957
149	1049	5946
150	1055	5936
151	1062	5927
152	1068	5916
153	1074	5904
154	1081	5894
155	1088	5888
156	1094	5877
157	1101	5869
158	1107	5858
159	1114	5848
160	1120	5840
161	1127	5832
162	1134	5826
163	1141	5821
164	1148	5814
165	1155	5804
166	1161	5793
167	1168	5788
168	1175	5779
169	1182	5772
170	1188	5763
171	1195	5754
172	1202	5746
173	1208	5736
174	1214	5726
175	1221	5719
176	1228	5710
177	1235	5704
178	1242	5697
179	1248	5689
180	1255	5681
181	1262	5672
182	1268	5662
183	1274	5652
184	1281	5643
185	1287	5632
186	1293	5621
187	1299	5614
188	1305	5603
189	1312	5593
190	1318	5584
191	1324	5575
192	1330	5565
193	1337	5554
194	1343	5547
195	1349	5537
196	1356	5528
197	1363	5521
198	1369	5512
199	1375	5502
200	1382	5494
201	1389	5487
202	1395	5480
203	1402	5470
204	1409	5464
205	1416	5458
206	1423	5454
207	1430	5447
208	1437	5439
209	1443	5431
210	1450	5422
211	1456	5414
212	1463	5407
213	1469	5396
214	1476	5389
215	1482	5379
216	1488	5370
217	1495	5364
218	1502	5357
219	1509	5350
220	1515	5340
221	1521	5331
222	1527	5323
223	1535	5317
224	1542	5311
225	1548	5304
226	1554	5294
227	1562	5291
228	1569	5283
229	1576	5276
230	1582	5269
231	1589	5262
232	1596	5256
233	1604	5250
234	1612	5248
235	1619	5241
236	1626	5235
237	1636	5238
238	1648	5248
239	1657	5249
240	1665	5244
241	1673	5240
242	1679	5231
243	1686	5223
244	1692	5216
245	1699	5208
246	1706	5202
247	1713	5195
248	1720	5188
249	1727	5183
250	1733	5174
251	1741	5167
252	1747	5160
253	1754	5152
254	1761	5147
255	1768	5139
256	1775	5133
257	1782	5125
258	1789	5120
259	1796	5113
260	1804	5108
261	1811	5101
262	1817	5093
263	1825	5088
264	1832	5082
265	1839	5076
266	1846	5069
267	1854	5066
268	1861	5058
269	1868	5053
270	1875	5044
271	1882	5038
272	1889	5031
273	1896	5024
274	1903	5018
275	1910	5012
276	1918	5006
277	1924	4998
278	1930	4989
279	1938	4984
280	1944	4976
281	1952	4970
282	1958	4961
283	1964	4952
284	1971	4945
285	1977	4936
286	1983	4928
287	1990	4922
288	1998	4915
289	2004	4908
290	2012	4902
291	2018	4895
292	2026	4888
293	2033	4883
294	2040	4876
295	2047	4869
296	2054	4863
297	2061	4856
298	2068	4849
299	2074	4841
300	2081	4834
301	2089	4828
302	2096	4821
303	2102	4813
304	2108	4805
305	2116	4799
306	2122	4790
307	2129	4783
308	2136	4777
309	2142	4769
310	2149	4762
311	2155	4754
312	2162	4746
313	2169	4739
314	2176	4732
315	2183	4726
